# English voice loudness, measured at volume=1.0, sample='I finished the refactor and all the tests pass.'. RMS dBFS (higher=louder). Sorted loudest first.
rms_dbfs	name	voice_id
-14.4	Doreen - Decisive Coordinator	c0832d40-57c5-4a34-991a-907b2cf0bfbf
-15.1	Blake - Helpful Agent	a167e0f3-df7e-4d52-a9c3-f949145efdab
-15.2	Steve - Sad Baritone	80713a53-e484-4f69-9852-7891096016ac
-15.6	Greg - Supporter	a0e99841-438c-4a64-b679-ae501e7d6091
-15.7	Maeve - Steady Host	02a924f6-bb49-4177-8fbb-52238c5056d6
-15.7	Barry - Helper	13524ffb-a918-499a-ae97-c98c7c4408c4
-15.8	Renee - Commander	c2ac25f9-ecc4-4f56-9095-651354df60c0
-15.8	Aurora - Fairy Princess	8f091740-3df1-4795-8bd9-dc62d88e5131
-15.9	Janvi - Steady Agent	7ea5e9c2-b719-4dc3-b870-5ba5f14d31d8
-16.0	Griffin - Excited Narrator	34d923aa-c3b5-4f21-aac7-2c1f12730d4b
-16.0	Charlotte - Heiress	71a7ad14-091c-4e8e-a314-022ece01c121
-16.1	Matt - Goofy Friend	bfd3644b-d561-4b1c-a01f-d9af98cb67c0
-16.1	Kiara - Joyful Woman	f8f5f1b2-f02d-4d8e-a40d-fd850a487b3d
-16.2	Victoria - Refined Coordinator	dc30854e-e398-4579-9dc8-16f6cb2c19b9
-16.2	Callum - Brand Spokesperson	da4a4eff-3b7e-4846-8f70-f075ff61222c
-16.2	Clyde - Calm Narrator	98a34ef2-2140-4c28-9c71-663dc4dd7022
-16.2	Amanda - Warm Guide	b60048c2-abb5-43fa-b403-90dce232e55e
-16.2	Carlo - Roman Guide	1fc31370-81b1-4588-9c1a-f93793c6e01d
-16.3	Harper - Conversationalist	c5d00dfb-501f-43f3-8e79-c810d24f5acd
-16.4	Priya - Trusted Operator	f6141af3-5f94-418c-80ed-a45d450e7e2e
-16.4	Rowan - Team Leader	701a96e1-7fdd-4a6c-a81e-a4a450403599
-16.4	Silas - Nighttime Narrator	7e19344f-9f17-47d7-a13a-4366ad06ebf3
-16.4	Clarence - Newsman	41534e16-2966-4c6b-9670-111411def906
-16.6	Zeke - Friendly Sidekick	e00d0e4c-a5c8-443f-a8a3-473eb9a62355
-16.6	Wes - Customer Companion	2a4d065a-ac91-4203-a015-eb3fc3ee3365
-16.6	Whitney - Composed Concierge	f3c7d5d2-c1e1-41a0-bd88-8b5512be5335
-16.6	Kendra - Smooth Communicator	358e650d-ac0b-4a74-b14f-aca3daa40d79
-16.7	Willow - Approachable Ally	5f621418-ab01-4bf4-9a9d-73d66032234e
-16.7	Cathy - Coworker	e8e5fffb-252c-436d-b842-8879b84445b6
-16.8	Cole - Clear Communicator	3e39e9a5-585c-4f5f-bac6-5e4905c51095
-16.8	Reflective Woman	a3520a8f-226a-428d-9fcd-b0a4711a6829
-16.8	Esther - Gracious Helper	1a0c6bb2-bc1b-476e-8d45-56a66300362b
-16.9	Reed - Polished Professional	533b2990-5b82-45a4-b9f2-367776972ca6
-16.9	Jasper - Vibrant Stylist	e98bd614-9b9d-4031-b930-ed72482af858
-16.9	Ailsa - Warm Guide	fb02b554-7d64-4f90-841e-e57fc88f410c
-16.9	Madison - Best Friend	134838f5-ce7e-4876-ac32-6367b99daf83
-16.9	Roy - Stern Realist	f2ddbdca-59d9-4363-abeb-a197d65ea24a
-17.0	Riley - Chill Friend	21b81c14-f85b-436d-aff5-43f2e788ecf8
-17.0	Warren - Seasoned Pragmatist	aec42b73-8c46-4528-a377-537b5ecb8e7b
-17.0	Faye - Hospitable Neighbor	caa06a3e-c85d-459d-a1c0-4a25eeb60aeb
-17.0	Edith - Matriarch	c8605446-247c-4d39-acd4-8f4c28aa363c
-17.0	Loretta - Still Comfort	25bf938a-025c-4dd0-906f-8cf8be2e26e9
-17.0	Devansh - Warm Support Agent	1259b7e3-cb8a-43df-9446-30971a46b8b0
-17.1	Joseph - Empathetic Voice	7d444628-dd13-442b-b687-71a6baf0c07e
-17.1	Elizabeth - Manager	248be419-c632-4f23-adf1-5324ed7dbf1d
-17.1	Jessica - Clear Communicator	25d7abcb-4d6d-4aca-adce-8a1c85620c8b
-17.1	Miles - Yogi	f114a467-c40a-4db8-964d-aaba89cd08fa
-17.1	Carol - Task Coach	bf991597-6c13-47e4-8411-91ec2de5c466
-17.1	Liam - Guy Next Door	41f3c367-e0a8-4a85-89e0-c27bae9c9b6d
-17.2	Clementine - Hospitable Host	4111bc29-d7ff-4a15-90db-819f7b4f7706
-17.2	Jordan - Chill Pal	87bc56aa-ab01-4baa-9071-77d497064686
-17.2	Ellie Mae - Friendly Companion	8d2c9eda-31df-477a-9eb6-df6f00b82845
-17.2	Theo - Modern Narrator	79f8b5fb-2cc8-479a-80df-29f7a7cf1a3e
-17.2	Lulu - Madame Mischief	e13cae5c-ec59-4f71-b0a6-266df3c9bb8e
-17.3	Evie - Engaging Expert	e5d4c33a-d8f6-46e8-a10f-b5afecc35648
-17.3	Simi - Support Specialist	3b554273-4299-48b9-9aaf-eefd438e3941
-17.3	Jo - Go to Gal	5abd2130-146a-41b1-bcdb-974ea8e19f56
-17.3	Rachel - Polished Presence	10bd4af4-825b-49b8-b8bd-0ca11865536e
-17.3	Jolene - Warm Storyteller	d1d9c946-7cfc-4378-85a4-07d09827cb7e
-17.4	Sheldon - Help Desk Man	39b376fc-488e-4d0c-8b37-e00b72059fdd
-17.4	Asher - Podcaster	00967b2f-88a6-4a31-8153-110a92134b9f
-17.4	Corey - Supportive Buddy	630ed21c-2c5c-41cf-9d82-10a7fd668370
-17.4	Eden - Clear Advisor	83ae58a1-7e97-4b94-b03f-e4cc0a10d8af
-17.4	Rebecca - Counselor	57b6bf63-c7a1-4ffc-8e10-23bf45152dd6
-17.4	Zanele - Vibrant Advocate	263b9cc0-0d99-44e7-ae92-3d4ad5d2ad18
-17.5	Lindsey - Relaxed Rep	a38e4e85-e815-43ab-acf1-907c4688dd6c
-17.6	Claudia - Welcoming Lady	f80e7298-93f5-46d0-86f2-b8f29cfc88bd
-17.6	Sierra - California Girl	b7d50908-b17c-442d-ad8d-810c63997ed9
-17.6	Nolan - Expressive Agent	65209f8e-6140-4a20-b819-3cc2e21da19b
-17.6	Mary - Nurse	5c42302c-194b-4d0c-ba1a-8cb485c84ab9
-17.6	Evan - Practical Guide	bd89603f-0efb-4721-a0c8-d10b3642acc3
-17.6	Harrison - Diligent Detailer	df89f42f-f285-4613-adbf-14eedcec4c9e
-17.7	Doris - Friend	0c8ed86e-6c64-40f0-b252-b773911de6bb
-17.7	Casper - Gentle Narrator	4f7f1324-1853-48a6-b294-4e78e8036a83
-17.7	Stephanie - Steady Professional	6a73e45f-3fa6-427c-97da-0fc6a7a1bc0d
